node,node,weight
思群堂,群贤堂,3
群贤堂,图书馆逸夫楼,1
图书馆逸夫楼,地理馆,4
地理馆,物理楼,8
物理楼,化学实验楼,7
化学实验楼,生物实验楼,8
生物实验楼,行政楼,9
行政楼,教育学部楼,10
教育学部楼,信息楼,3
信息楼,计算机中心,8
计算机中心,商学院楼,2
商学院楼,心理与认知科学学院楼,2
心理与认知科学学院楼,法学院楼,4
法学院楼,音乐学院楼,1
音乐学院楼,美术学院楼,5
美术学院楼,马克思主义学院楼,4
马克思主义学院楼,河口海岸大楼,7
河口海岸大楼,国际教育中心,3
国际教育中心,档案馆,7
档案馆,校史馆,1
校史馆,丽娃河,7
丽娃河,丽虹桥,2
丽虹桥,共青场,7
共青场,体育健康楼,1
体育健康楼,足球场,5
足球场,篮球场,10
篮球场,排球场,9
排球场,百花园餐厅,9
百花园餐厅,银之春西餐厅,10
银之春西餐厅,申云轩餐厅,3
申云轩餐厅,河西食堂,3
河西食堂,河东食堂,2
河东食堂,丽娃食堂,7
丽娃食堂,华闵餐厅,2
华闵餐厅,秋实阁,5
秋实阁,秋林阁,9
秋林阁,校医院,10
校医院,学生活动中心,2
学生活动中心,学术交流中心,4
学术交流中心,第一教学楼,4
第一教学楼,第二教学楼,10
第二教学楼,第三教学楼,7
第三教学楼,第四教学楼,4
第四教学楼,实验A楼,7
实验A楼,实验B楼,10
实验B楼,实验教学中心,6
实验教学中心,物理信息楼,3
物理信息楼,法商楼,9
法商楼,闵行图书馆,5
思群堂,人文学院楼,10
群贤堂,统计学院楼,10
图书馆逸夫楼,生命科学学院楼,5
地理馆,数统楼,1
物理楼,外语学院楼,1
化学实验楼,田径场,4
生物实验楼,游泳馆,5
行政楼,崇真书院,3
教育学部楼,桃李园广场,3
信息楼,青年教师公寓,8
计算机中心,本科生公寓1号楼,8
商学院楼,本科生公寓2号楼,8
心理与认知科学学院楼,本科生公寓3号楼,6
法学院楼,本科生公寓4号楼,3
音乐学院楼,本科生公寓5号楼,5
美术学院楼,本科生公寓6号楼,3
马克思主义学院楼,研究生公寓1号楼,8
河口海岸大楼,研究生公寓2号楼,5
国际教育中心,研究生公寓3号楼,8
档案馆,研究生公寓4号楼,2
校史馆,SPF实验动物中心,5
丽娃河,信息化办公室,2
丽虹桥,后勤保障部,5
共青场,基建处,2
体育健康楼,科技处,3
足球场,审计处,9
篮球场,资产管理处,4
排球场,人事处,2
百花园餐厅,学校办公室,4
银之春西餐厅,团委,9
申云轩餐厅,学生资助管理中心,6
河西食堂,心理健康教育与咨询中心,1
河东食堂,校园警卫室,10
丽娃食堂,莲花路警卫室,3
华闵餐厅,虹梅路警卫室,9
秋实阁,立体停车库,7
秋林阁,闵行校区大门,7
校医院,中北校区大门,3
学生活动中心,丽娃湖,8
学术交流中心,柳长桥,6
第一教学楼,梅陇井,3
第二教学楼,紫竹广场,10
第三教学楼,心中书社,4
第四教学楼,翔华书店,8
实验A楼,河西浴室,5
实验B楼,河东浴室,4
实验教学中心,丽娃浴室,2
物理信息楼,西操场,3
法商楼,东操场,1
闵行图书馆,综合体育馆,1
